,Movie Name,Movie Rating,Genres,Release,Runtime,Director,Movie Link
0,Sonic the Hedgehog 2,77.0,"Action, Science Fiction, Comedy, Family, Adventure
",        04/08/2022       ,2h 2m,Jeff Fowler,https://www.themoviedb.org/movie/675353
1,The Batman,78.0,"Crime, Mystery, Thriller
",        03/04/2022       ,2h 56m,Matt Reeves,https://www.themoviedb.org/movie/414906
2,The Bad Guys,78.0,"Animation, Comedy, Action, Family, Crime
",        04/22/2022       ,1h 40m,Pierre Perifel,https://www.themoviedb.org/movie/629542
3,Uncharted,72.0,"Action, Adventure
",        02/18/2022       ,1h 56m,Ruben Fleischer,https://www.themoviedb.org/movie/335787
4,Doctor Strange in the Multiverse of Madness,75.0,"Fantasy, Action, Adventure
",        05/06/2022       ,2h 6m,Sam Raimi,https://www.themoviedb.org/movie/453395
5,Spider-Man: No Way Home,81.0,"Action, Adventure, Science Fiction
",        12/17/2021       ,2h 28m,Jon Watts,https://www.themoviedb.org/movie/634649
6,The eighth clause,49.0,"Thriller
",        04/29/2022       ,Not Define,Koko Stambuk,https://www.themoviedb.org/movie/956101
7,Ambulance,69.0,"Action, Thriller, Crime
",        04/08/2022       ,2h 16m,Michael Bay,https://www.themoviedb.org/movie/763285
8,Turning Red,74.0,"Animation, Family, Comedy, Fantasy
",        03/10/2022       ,1h 40m,Domee Shi,https://www.themoviedb.org/movie/508947
9,Doctor Strange,74.0,"Action, Adventure, Fantasy, Science Fiction
",        11/04/2016       ,1h 55m,Scott Derrickson,https://www.themoviedb.org/movie/284052
10,Moonfall,65.0,"Science Fiction, Adventure, Action
",        02/04/2022       ,2h 10m,Roland Emmerich,https://www.themoviedb.org/movie/406759
11,Virus:32,68.0,"Horror
",        04/21/2022       ,1h 30m,Gustavo Hernández,https://www.themoviedb.org/movie/893370
12,The Contractor,65.0,"Action, Thriller
",        04/01/2022       ,1h 43m,Tarik Saleh,https://www.themoviedb.org/movie/628900
13,The Outfit,70,"Drama, Thriller, Crime
",        03/18/2022       ,1h 45m,Graham Moore,https://www.themoviedb.org/movie/799876
14,365 Days: This Day,56.0,"Romance, Drama
",        04/27/2022       ,1h 51m,Barbara Bialowas,https://www.themoviedb.org/movie/829557
15,Fortress: Sniper's Eye,60,"Crime, Action
",        04/29/2022       ,1h 27m,Josh Sternfeld,https://www.themoviedb.org/movie/883502
16,Silverton Siege,64.0,"Action, Crime, Drama
",        04/27/2022       ,1h 40m,"Mandlakayise Walter Dube, Jr.",https://www.themoviedb.org/movie/951470
17,Fantastic Beasts: The Secrets of Dumbledore,68.0,"Adventure, Fantasy
",        04/08/2022       ,2h 22m,David Yates,https://www.themoviedb.org/movie/338953
18,Encanto,77.0,"Animation, Comedy, Family, Fantasy
",        11/24/2021       ,1h 42m,Byron Howard,https://www.themoviedb.org/movie/568124
19,All the Old Knives,61.0,"Thriller, Action
",        04/08/2022       ,1h 42m,Janus Metz,https://www.themoviedb.org/movie/294793
20,Yaksha: Ruthless Operations,62.0,"Action
",        04/08/2022       ,2h 5m,Na Hyun,https://www.themoviedb.org/movie/606402
21,Blacklight,62.0,"Action, Thriller
",        02/10/2022       ,1h 44m,Mark Williams,https://www.themoviedb.org/movie/823625
22,¡Qué despadre!,80,"Comedy, Family, Romance
",        02/09/2022       ,1h 39m,Pedro Pablo Ibarra,https://www.themoviedb.org/movie/937337
23,War of the Worlds: Annihilation,54.0,"Science Fiction, Action
",        12/22/2021       ,1h 53m,Maximilian Elfeldt,https://www.themoviedb.org/movie/919689
24,The Grandmother,60,"Horror
",        01/28/2022       ,1h 40m,Paco Plaza,https://www.themoviedb.org/movie/661791
25,Pil's Adventures,69.0,"Adventure, Animation, Comedy, Family, Fantasy
",        08/11/2021       ,1h 29m,Julien Fournet,https://www.themoviedb.org/movie/676705
26,The Adam Project,70,"Action, Adventure, Comedy, Science Fiction
",        03/11/2022       ,1h 46m,Shawn Levy,https://www.themoviedb.org/movie/696806
27,Venom: Let There Be Carnage,70,"Science Fiction, Action, Adventure
",        10/01/2021       ,1h 37m,Andy Serkis,https://www.themoviedb.org/movie/580489
28,My Hero Academia: World Heroes' Mission,74.0,"Animation, Action, Fantasy, Adventure
",        08/06/2021       ,1h 45m,Kenji Nagasaki,https://www.themoviedb.org/movie/768744
29,Hotel Transylvania: Transformania,71.0,"Animation, Family, Fantasy, Comedy, Adventure
",        02/25/2022       ,1h 27m,Jennifer Kluska,https://www.themoviedb.org/movie/585083
30,The Lost City,67.0,"Action, Adventure, Comedy, Romance
",        03/25/2022       ,1h 52m,Adam Nee,https://www.themoviedb.org/movie/752623
